Symbol,Date,Close,MarketOk,AboveSMA30,Breakout20w,TRIXBullish,ATR,ROC12,Signal
5803.T,2026-04-17,5762.0,True,True,True,True,761.5333,0.9309,BUY
MTZ,2026-04-17,370.89,True,True,True,True,28.201,0.5339,BUY
CS.PA,2026-04-17,42.62,True,True,True,True,2.2815,0.1302,BUY
STX,2026-04-17,547.75,True,True,True,False,58.192,0.5826,WAIT
WDC,2026-04-17,372.52,True,True,True,False,44.124,0.5759,WAIT
ELG.DE,2026-04-17,172.2,True,True,False,True,18.16,0.5683,WAIT
VBK.DE,2026-04-17,35.5,True,True,False,True,6.272,0.3856,WAIT
MAU.PA,2026-04-17,8.69,True,True,False,True,1.362,0.3715,WAIT
NDX1.DE,2026-04-17,45.56,True,True,False,True,4.322,0.3616,WAIT
AVGO,2026-04-17,406.54,True,True,True,False,32.769,0.2702,WAIT
AMAT,2026-04-17,396.94,True,True,False,False,40.173,0.2313,WAIT
LRCX,2026-04-17,267.6,True,True,False,False,28.203,0.2279,WAIT
ENR.DE,2026-04-17,172.06,True,True,True,False,17.927,0.2138,WAIT
ANET,2026-04-17,164.23,True,True,True,False,15.1117,0.2046,WAIT
EXENS.PA,2026-04-17,65.45,True,True,False,True,7.45,0.1943,WAIT
SQZ.L,2026-04-17,244.0,True,True,False,True,34.3738,0.1731,WAIT
URW.PA,2026-04-17,106.55,True,True,False,False,6.141,0.1714,WAIT
GPW.WA,2026-04-17,79.4,True,True,False,False,5.645,0.1449,WAIT
MU,2026-04-17,455.07,True,True,False,False,60.519,0.1387,WAIT
1288.HK,2026-04-17,6.05,True,True,True,False,0.276,0.1372,WAIT
NESTE.HE,2026-04-17,23.49,True,True,False,True,2.76,0.1337,WAIT
TRE.MC,2026-04-17,34.34,True,True,False,False,4.322,0.1281,WAIT
TSM,2026-04-17,370.5,True,True,False,False,31.067,0.1064,WAIT
MRN.PA,2026-04-17,27.88,True,True,False,False,2.201,0.0955,WAIT
WMT,2026-04-17,127.5,True,True,False,False,6.994,0.083,WAIT
AMD,2026-04-17,278.39,True,True,True,False,22.182,0.0721,WAIT
GLE.PA,2026-04-17,74.66,True,True,False,False,7.074,0.0693,WAIT
VWS.CO,2026-04-17,191.55,True,True,False,False,13.585,0.068,WAIT
1378.HK,2026-04-17,37.9,True,True,False,False,3.748,0.0569,WAIT
SAB.MC,2026-04-17,3.37,True,True,False,False,0.2126,0.0542,WAIT
RR.L,2026-04-17,1310.6,True,True,False,False,124.9298,0.046,WAIT
ALB,2026-04-17,197.75,True,True,False,False,22.598,0.0435,WAIT
KGH.WA,2026-04-17,341.65,True,True,False,False,37.225,0.0407,WAIT
GOOG,2026-04-17,339.4,True,True,False,False,21.6409,0.0334,WAIT
ESE.PA,2026-04-17,30.54,True,True,True,False,0.8836,0.0293,WAIT
LBW.WA,2026-04-17,8.56,True,False,False,True,0.7205,0.0282,WAIT
AU,2026-04-17,109.15,True,True,False,False,14.908,0.0272,WAIT
CDA.PA,2026-04-17,25.8,True,True,False,False,1.525,0.0238,WAIT
CPI.JO,2026-04-17,442515.0,True,True,False,False,27853.7,0.0153,WAIT
TGB,2026-04-17,7.73,True,True,False,False,1.067,0.0131,WAIT
NXE,2026-04-17,12.69,True,True,False,False,1.4889,0.0087,WAIT
VIRI.PA,2026-04-17,121.7,True,True,False,False,14.08,-0.0008,WAIT
LDO.MI,2026-04-17,57.69,True,True,False,True,5.257,-0.0064,WAIT
NOC,2026-04-17,665.26,True,True,False,False,39.853,-0.0114,WAIT
GLD,2026-04-17,445.93,True,True,False,False,27.525,-0.0264,WAIT
CCJ,2026-04-17,120.66,True,True,False,False,13.189,-0.0272,WAIT
RKLB,2026-04-17,84.8,True,True,False,False,11.9906,-0.0461,WAIT
0966.HK,2026-04-17,22.2,True,True,False,False,1.924,-0.0472,WAIT
AYV.PA,2026-04-17,11.28,True,True,False,False,0.792,-0.0616,WAIT
NEM,2026-04-17,116.5,True,True,False,False,12.212,-0.0628,WAIT
GD,2026-04-17,336.29,True,False,False,False,16.04,-0.0743,WAIT
HAG.DE,2026-04-17,80.84,True,True,False,False,9.517,-0.0766,WAIT
PM,2026-04-17,157.79,True,False,False,False,11.287,-0.088,WAIT
APP,2026-04-17,477.2,True,False,False,False,81.6789,-0.09,WAIT
ANGPY,2026-04-17,15.9,True,True,False,False,2.3615,-0.095,WAIT
1810.HK,2026-04-17,32.0,True,False,False,False,2.412,-0.117,WAIT
MP,2026-04-17,60.99,True,True,False,False,7.796,-0.1235,WAIT
PLTR,2026-04-17,146.39,True,False,False,False,17.369,-0.1369,WAIT
VCT.PA,2026-04-17,67.7,True,False,False,False,5.8,-0.143,WAIT
1478.HK,2026-04-17,8.48,True,False,False,False,0.871,-0.1469,WAIT
HOOD,2026-04-17,90.75,True,False,False,False,11.5693,-0.1518,WAIT
1385.HK,2026-04-17,41.34,True,False,False,False,5.994,-0.1539,WAIT
1508.HK,2026-04-17,1.39,True,False,False,False,0.132,-0.1677,WAIT
1347.HK,2026-04-17,90.5,True,True,False,False,10.63,-0.1758,WAIT
BABA,2026-04-17,141.01,True,False,False,False,12.501,-0.186,WAIT
FCT.MI,2026-04-17,13.77,True,False,False,False,1.2265,-0.1927,WAIT
UEC,2026-04-17,14.97,True,True,False,False,2.379,-0.196,WAIT
2400.HK,2026-04-17,64.2,True,False,False,False,6.315,-0.2132,WAIT
CDE,2026-04-17,20.38,True,False,False,False,3.672,-0.2195,WAIT
IE,2026-04-17,15.4,True,True,False,False,2.4194,-0.2246,WAIT
GUBRA.CO,2026-04-17,358.0,True,False,False,False,45.72,-0.2334,WAIT
0981.HK,2026-04-17,59.35,True,False,False,False,5.753,-0.2401,WAIT
9626.HK,2026-04-17,195.0,True,False,False,False,19.08,-0.2574,WAIT
SHA0.DE,2026-04-17,8.68,True,False,False,False,1.0275,-0.27,WAIT
KTOS,2026-04-17,70.99,True,False,False,False,12.741,-0.3569,WAIT
ALO.PA,2026-04-17,16.64,True,False,False,False,2.891,-0.3786,WAIT
